RAW_VARIANT,BRAND_ORIGINAL,GRAIN_COUNT,SOURCE_COLUMN,SOURCE_SYSTEM,marca_std,brand_owner,coverage_status
WEST SOY,WEST SOY,1,INP_56985,NIELSEN_PB,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
MAMMA CHIA,MAMMA CHIA,2,INP_56985,NIELSEN_PB,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
RUDE HEALTH,RUDE HEALTH,3,INP_56985,NIELSEN_PB,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
SO DELICIOUS,SO DELICIOUS,5,INP_56985,NIELSEN_PB,SO DELICIOUS,DANONE,CONFIRMED
ROCKVIEW,ROCKVIEW,4,INP_56985,NIELSEN_PB,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
BLUE DIAMOND,BLUE DIAMOND,22,INP_56985,NIELSEN_PB,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
NATURES HEART,NATURES HEART,43,INP_56985,NIELSEN_PB,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
THAI COCO,THAI COCO,4,INP_56985,NIELSEN_PB,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
CARNATION,CARNATION,5,INP_56985,NIELSEN_PB,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
RIPPLE,RIPPLE,7,INP_56985,NIELSEN_PB,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
MOOALA,MOOALA,10,INP_56985,NIELSEN_PB,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
OAT WORLD,OAT WORLD,4,INP_56985,NIELSEN_PB,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
NOTMILK,NOTMILK,15,INP_56985,NIELSEN_PB,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
AMANDIN,AMANDIN,1,INP_56985,NIELSEN_PB,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
PROVAMEL,PROVAMEL,1,INP_56985,NIELSEN_PB,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
GRANVITA,GRANVITA,2,INP_56985,NIELSEN_PB,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
DEL VALLE,DEL VALLE,1,INP_56985,NIELSEN_PB,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
AVELINA,AVELINA,1,INP_56985,NIELSEN_PB,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
CONDORELLI,CONDORELLI,1,INP_56985,NIELSEN_PB,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
CALPIS,CALPIS,1,INP_56985,NIELSEN_PB,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
SOLE,SOLE,3,INP_56985,NIELSEN_PB,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
SOYALAC,SOYALAC,1,INP_56985,NIELSEN_PB,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
OATLY,OATLY,7,INP_56985,NIELSEN_PB,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
BANANOH,BANANOH,3,INP_56985,NIELSEN_PB,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
TWO BEARS,TWO BEARS,4,INP_56985,NIELSEN_PB,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
N JOY BRAND,N JOY BRAND,2,INP_56985,NIELSEN_PB,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
NATURALS,NATURALS,1,INP_56985,NIELSEN_PB,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
NATUR ALL,NATUR ALL,3,INP_56985,NIELSEN_PB,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
MW POLAR,MW POLAR,1,INP_56985,NIELSEN_PB,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
SOYAPAC,SOYAPAC,1,INP_56985,NIELSEN_PB,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
CHOBANI,CHOBANI,10,INP_56985,NIELSEN_PB,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
BIRDMAN,BIRDMAN,4,INP_56985,NIELSEN_PB,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
YUMMA AVOCADO,YUMMA AVOCADO,1,INP_56985,NIELSEN_PB,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
HAPPY DAY,HAPPY DAY,2,INP_56985,NIELSEN_PB,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
SOY,SOY,5,INP_56985,NIELSEN_PB,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
SIN MARCA,SIN MARCA,2,INP_56985,NIELSEN_PB,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
MANDOR,MANDOR,2,INP_56985,NIELSEN_PB,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
THAI HERITAGE,THAI HERITAGE,2,INP_56985,NIELSEN_PB,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
ISOLA BIO,ISOLA BIO,5,INP_56985,NIELSEN_PB,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
ESSENTIAL WAITROSE,ESSENTIAL WAITROSE,2,INP_56985,NIELSEN_PB,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
YOPRO,YOPRO,1,INP_56985,NIELSEN_PB,YOPRO,DANONE,CONFIRMED
ELMHURST,ELMHURST,13,INP_56985,NIELSEN_PB,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
THAI,THAI,1,INP_56985,NIELSEN_PB,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
CALIFIA FARMS,CALIFIA FARMS,24,INP_56985,NIELSEN_PB,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
LEOLI,LEOLI,2,INP_56985,NIELSEN_PB,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
SAN MIGUEL,SAN MIGUEL,1,INP_56985,NIELSEN_PB,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
MALK,MALK,2,INP_56985,NIELSEN_PB,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
PURE,PURE,1,INP_56985,NIELSEN_PB,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
PACIFIC,PACIFIC,14,INP_56985,NIELSEN_PB,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
SILK,SILK,91,INP_56985,NIELSEN_PB,SILK,DANONE,CONFIRMED
MARIANI,MARIANI,3,INP_56985,NIELSEN_PB,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
PL,PL,1,INP_56985,NIELSEN_PB,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
OKKO SUPER FOODS,OKKO SUPER FOODS,1,INP_56985,NIELSEN_PB,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
RICE DREAM,RICE DREAM,2,INP_56985,NIELSEN_PB,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
BE CLEAR,BE CLEAR,1,INP_56985,NIELSEN_PB,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
MILKADAMIA,MILKADAMIA,5,INP_56985,NIELSEN_PB,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
