source_system,raw_variant,brand_original,row_count
MKT_OFF,AGUAS_TAGARE,AGUAS_TAGARE,14
MKT_OFF,AGUA_OASIS,AGUA_OASIS,343
MKT_OFF,AGUA_PASCUAL,AGUA_PASCUAL,335
MKT_OFF,BELIGHT,BELIGHT,5256
MKT_OFF,BOING,BOING,9310
MKT_OFF,CANADADRY,CANADADRY,1564
MKT_OFF,CIFRUT,CIFRUT,716
MKT_OFF,CUNNINGTON,CUNNINGTON,11
MKT_OFF,DELVALLE,DELVALLE,731
MKT_OFF,DELVALLE_FIZZ,DELVALLE_FIZZ,7225
MKT_OFF,DELVALLE_FRUT,DELVALLE_FRUT,804
MKT_OFF,DELVALLE_JUNIOR,DELVALLE_JUNIOR,388
MKT_OFF,DGARI,DGARI,5097
MKT_OFF,DRPEPPER,DRPEPPER,1058
MKT_OFF,EPURA,EPURA,41138
MKT_OFF,FANTA,FANTA,1031
MKT_OFF,FRESCA,FRESCA,885
MKT_OFF,FRUVITA,FRUVITA,337
MKT_OFF,JARRITOS,JARRITOS,936
MKT_OFF,LULU,LULU,4
MKT_OFF,MANZANITA,MANZANITA,3052
MKT_OFF,MINERALITA,MINERALITA,35
MKT_OFF,MIRINDA,MIRINDA,2769
MKT_OFF,MUNDET,MUNDET,2986
MKT_OFF,NECTASIS,NECTASIS,558
MKT_OFF,NOTMILK,NOTMILK,1
MKT_OFF,NUTRILECHE,NUTRILECHE,11239
MKT_OFF,PASCUAL,PASCUAL,5
MKT_OFF,PERRIER,PERRIER,8
MKT_OFF,PULP,PULP,855
MKT_OFF,REDCOLA,REDCOLA,2248
MKT_OFF,SANGRIA,SANGRIA,77
MKT_OFF,SCHWEPPES,SCHWEPPES,1323
MKT_OFF,SKARCH,SKARCH,1711
MKT_OFF,SKARCH_FRUTALE,SKARCH_FRUTALE,363
MKT_OFF,SKARCH_MINERAL,SKARCH_MINERAL,164
MKT_OFF,SPRITE,SPRITE,282
MKT_OFF,SQUIRT,SQUIRT,3279
MKT_OFF,TOPOCHICO,TOPOCHICO,30
MKT_OFF,VITALOE,VITALOE,27726
MKT_OFF,YAKULT,YAKULT,38485
NIELSEN_EDP,A MORA TI,A MORA TI,1
NIELSEN_EDP,ACTIMEL,ACTIMEL,1
NIELSEN_EDP,AGUASCALIENTES,AGUASCALIENTES,15
NIELSEN_EDP,AL DIA,AL DIA,36
NIELSEN_EDP,ALDAMA,ALDAMA,1
NIELSEN_EDP,ALMAGUER,ALMAGUER,1
NIELSEN_EDP,ANELA,ANELA,6
NIELSEN_EDP,ARACELI,ARACELI,6
NIELSEN_EDP,ARISBEY,ARISBEY,11
NIELSEN_EDP,ART,ART,20
NIELSEN_EDP,BAD MOOD,BAD MOOD,4
NIELSEN_EDP,BAKER'S BITES,BAKER'S BITES,2
NIELSEN_EDP,BAMBI,BAMBI,21
NIELSEN_EDP,BELL,BELL,5
NIELSEN_EDP,BELLINI,BELLINI,2
NIELSEN_EDP,BELOE,BELOE,1
NIELSEN_EDP,BIO 4,BIO 4,15
NIELSEN_EDP,BIO 4BALAN-CE,BIO 4BALAN-CE,20
NIELSEN_EDP,BIOLAC,BIOLAC,1
NIELSEN_EDP,BIORGANIC,BIORGANIC,4
NIELSEN_EDP,BOIRE,BOIRE,3
NIELSEN_EDP,BOLYOGHURT,BOLYOGHURT,1
NIELSEN_EDP,BONACULT,BONACULT,1
NIELSEN_EDP,BONAFINA,BONAFINA,14
NIELSEN_EDP,BONDELI,BONDELI,2
NIELSEN_EDP,BONTA,BONTA,1
NIELSEN_EDP,BONTA DIVINA,BONTA DIVINA,4
NIELSEN_EDP,BONYUR,BONYUR,7
NIELSEN_EDP,BOVE,BOVE,13
NIELSEN_EDP,BREAK,BREAK,10
NIELSEN_EDP,CAMPO ALEGRE,CAMPO ALEGRE,9
NIELSEN_EDP,CARACOL,CARACOL,7
NIELSEN_EDP,CASA BLANCA,CASA BLANCA,2
NIELSEN_EDP,CASA PROBIOTICOS,CASA PROBIOTICOS,2
NIELSEN_EDP,CHAMYTO,CHAMYTO,7
NIELSEN_EDP,CHELSY,CHELSY,1
NIELSEN_EDP,CHEN,CHEN,2
NIELSEN_EDP,CHIA MIA,CHIA MIA,4
NIELSEN_EDP,CHILCHOTA,CHILCHOTA,48
NIELSEN_EDP,CHIQUITIN,CHIQUITIN,19
NIELSEN_EDP,CHOBANI,CHOBANI,124
NIELSEN_EDP,CHOIX,CHOIX,1
NIELSEN_EDP,CLUB,CLUB,10
NIELSEN_EDP,CREMERIA CHALCO,CREMERIA CHALCO,1
NIELSEN_EDP,CREMOSO ALPURA,CREMOSO ALPURA,1
NIELSEN_EDP,CUADRITOS,CUADRITOS,9
NIELSEN_EDP,D'GARI,D'GARI,10
NIELSEN_EDP,DALUH,DALUH,9
NIELSEN_EDP,DE LA ABUELA,DE LA ABUELA,6
NIELSEN_EDP,DELIGHURT,DELIGHURT,10
NIELSEN_EDP,DELIRIO NATURAL,DELIRIO NATURAL,2
NIELSEN_EDP,DIVERTIGELL,DIVERTIGELL,2
NIELSEN_EDP,DOLCE FLAN,DOLCE FLAN,2
NIELSEN_EDP,DONA PINTA,DONA PINTA,4
NIELSEN_EDP,DULAIT,DULAIT,1
NIELSEN_EDP,DULCES SOLIS,DULCES SOLIS,2
NIELSEN_EDP,EHRMANN,EHRMANN,4
NIELSEN_EDP,EL ACICATE,EL ACICATE,8
NIELSEN_EDP,EL CIRUELO,EL CIRUELO,1
NIELSEN_EDP,EL PINAR,EL PINAR,1
NIELSEN_EDP,EL SABINO,EL SABINO,5
NIELSEN_EDP,ELI,ELI,1
NIELSEN_EDP,ESTI,ESTI,5
NIELSEN_EDP,FAGE,FAGE,35
NIELSEN_EDP,FLANBY,FLANBY,1
NIELSEN_EDP,FLANDY,FLANDY,4
NIELSEN_EDP,FLIPPER,FLIPPER,6
NIELSEN_EDP,FLOR DE ALFALFA,FLOR DE ALFALFA,21
NIELSEN_EDP,FLORENTINA,FLORENTINA,5
NIELSEN_EDP,FORAGER,FORAGER,16
NIELSEN_EDP,FORTI,FORTI,2
NIELSEN_EDP,FRUGGIS,FRUGGIS,6
NIELSEN_EDP,FRUTTISIMA,FRUTTISIMA,5
NIELSEN_EDP,GASTRO PROTECT,GASTRO PROTECT,12
NIELSEN_EDP,GELATIX,GELATIX,2
NIELSEN_EDP,GELY CREAM,GELY CREAM,1
NIELSEN_EDP,GERBER,GERBER,3
NIELSEN_EDP,GLAD,GLAD,1
NIELSEN_EDP,GOTA BLANCA,GOTA BLANCA,6
NIELSEN_EDP,GRANDMA S,GRANDMA S,2
NIELSEN_EDP,GRANJA,GRANJA,4
NIELSEN_EDP,GREEN FEELING,GREEN FEELING,2
NIELSEN_EDP,GRIEGO,GRIEGO,4
NIELSEN_EDP,HUNT'S,HUNT'S,1
NIELSEN_EDP,ISSANA,ISSANA,8
NIELSEN_EDP,JERSEY,JERSEY,10
NIELSEN_EDP,KASUL PLUS,KASUL PLUS,4
NIELSEN_EDP,KIPURI,KIPURI,1
NIELSEN_EDP,KOOL-AID,KOOL-AID,2
NIELSEN_EDP,KOURELLAS,KOURELLAS,2
NIELSEN_EDP,LA ABUELA,LA ABUELA,1
NIELSEN_EDP,LA CASERA,LA CASERA,4
NIELSEN_EDP,LA HACIENDA ANTIGUA,LA HACIENDA ANTIGUA,6
